sampleID	CDNA	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_168020_705506	20141211_C38	0.37	8083	46	2571467	4.48024415635	30.313025152	11.6845070159	pass	pass	pass	pass	2567588	92.51	421764	300562	0.198366	38.2940486031	1074356	28157	122017	342194	1238819	22.4384370512	629520	541490	0.0109663232574697	0.133274497310316	0.482483560446614	91.1533154392155	p6	single cell	TRUE
WTCHG_168020_705507	20141211_C91	0.28	6575	43	2531696	4.59083555056	36.5145782786	12.5528805142	pass	pass	fail	fail	2527396	92.06	386275	305244	0.235614	36.8333199355	1012622	16233	132219	323755	1264372	18.1436351871	498805	638024	0.00642281621083518	0.128098248157392	0.500266677639753	91.6894313631722	p6	single cell	TRUE
WTCHG_168020_705508	20141211_C83	0.33	7094	41	2826091	3.90086518799	35.4623724682	14.031320884	pass	pass	pass	pass	2821951	91.86	418514	356208	0.265793	45.9794778998	1415315	35051	144008	370034	1113737	24.5651845511	756152	812695	0.0124208393412926	0.131127011064331	0.39466914910996	86.9362573254909	p6	single cell	TRUE
WTCHG_168020_705517	20141119_C20	0.76	4455	38	1677933	4.5836752719	30.1958793513	10.1393365772	pass	pass	pass	pass	1675583	94.51	322301	153483	0.160776	63.7811338207	1208118	56667	53526	333242	242609	50.726917761	960850	312668	0.0338192736498281	0.198881225221311	0.144790798187855	81.7988485949746	p4	single cell	TRUE
WTCHG_168020_706502	20141119_C12	0.52	4125	38	2002481	6.76226141472	38.4659616953	10.0976971983	pass	pass	pass	pass	1997089	90.88	305917	261902	0.199596	35.9820342599	794316	18543	133131	298347	963198	20.657883114	456030	425755	0.0092850143383695	0.149390938511003	0.48230098908962	90.5774989901284	p4	single cell	TRUE
WTCHG_168020_706503	20141119_C88	0.8	4932	37	1606882	4.39714926174	30.6803799045	10.6139627371	pass	pass	pass	pass	1605244	94.77	281017	141195	0.154966	69.0134774314	1216876	60744	48570	246904	190150	55.5913985813	980212	276788	0.0378409762005028	0.153810884824986	0.118455512059226	77.6807700456913	p4	single cell	TRUE
WTCHG_168020_706504	20141208_C62	1.62	7501	44	1751847	4.289016107	29.9889108336	10.1374185563	pass	pass	pass	pass	1749982	93.57	320316	185430	0.113423	50.6361917323	973657	50354	63209	268571	567057	41.4457096973	796938	230674	0.0287740102469625	0.153470721413135	0.324035904369302	79.0851902462352	p5	single cell	TRUE
WTCHG_168020_706505	20141208_C16	1.82	8288	42	1777566	4.55217977842	31.7224373312	9.58809750306	pass	pass	pass	pass	1775493	93.93	315101	174548	0.099389	49.2174176228	952925	53392	65194	251824	612819	41.1265322903	796273	201414	0.0300716477057358	0.141833282361575	0.345154275460393	77.1036894065447	p5	single cell	FALSE
WTCHG_168020_706506	20141211_C44	0.58	4256	48	1988545	4.58023328615	33.5509639835	10.9793899074	pass	pass	pass	pass	1985338	92.46	287368	231147	0.255319	44.8344622308	956476	17965	97291	215172	846446	23.1389129772	493634	514233	0.00904883702422459	0.10838053772204	0.426348561302912	88.597688997236	p6	single cell	TRUE
WTCHG_168020_706507	20141211_C34	0.39	4219	50	2148308	7.39065348172	39.8754587472	12.1460524454	pass	pass	pass	pass	2141313	89.96	318248	303673	0.356416	50.0280808275	1192764	15968	160012	337481	677964	21.475059234	512006	772731	0.00745710692458319	0.157604703282519	0.31661135013891	96.9456516686984	p6	single cell	FALSE
WTCHG_168020_706508	20141211_C60	0.32	4267	44	2115439	6.24995568296	38.9419857292	10.7269965093	pass	pass	pass	pass	2109006	91.15	289167	268817	0.282531	42.1326722299	961061	6773	136944	236939	939318	18.6443873066	425285	595204	0.00321146549606782	0.11234629014806	0.44538422365797	94.0796012050011	p6	single cell	TRUE
WTCHG_168020_706517	20141119_C26	0.55	4282	37	2058696	6.6270590704	37.3764601492	11.1643429733	pass	pass	pass	pass	2053699	91.23	371763	264634	0.311105	46.6929177198	1068884	17453	126892	360520	715429	22.9650118951	525710	676433	0.00849832424323136	0.175546659953576	0.348361176589169	97.7977596608866	p4	single cell	FALSE
WTCHG_168020_707502	20141119_C28	0.98	4749	39	2487619	5.04848210277	34.2307059126	10.1998568368	pass	pass	pass	pass	2483878	93.85	417098	246058	0.174653	56.6518033965	1531854	69898	96301	334594	671334	42.3170133222	1144244	474247	0.0281406735757553	0.134706293948415	0.270276559476754	82.4230707888366	p4	single cell	TRUE
