sampleID	CDNA	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_207700_701502	20150708_C96	0.410063558	4385	43	1774904	6.591849475	30.7147879573	10.1831665757	pass	pass	pass	warn	1774232	90.49	238089	259746	0.134086	46.1918508448	866785	33455	103317	155846	717086	35.5439866687	666979	266989	0.0188560458835147	0.0878385690259222	0.404166986053684	75.3473990516151	p2	single cell	TRUE
WTCHG_207700_701503	20150709_C21	0.71354118	5488	44	1450474	3.959740057	23.0637372817	11.4217297567	pass	pass	pass	pass	1449938	91.33	217821	215367	0.075507	32.7097024991	501496	21569	54005	126455	829647	27.4146671085	420314	140812	0.0148758084828455	0.0872140739810944	0.572194811088474	70.1744032083965	p3	single cell	TRUE
WTCHG_207700_701504	20150709_C33	0.215368337	3287	49	2742634	8.09962248	38.4529096536	14.3450539688	pass	pass	warn	pass	2737508	86.77	327338	513950	0.539472	65.1809640621	1891884	19235	256834	242567	491990	21.4521569262	622651	1428322	0.00702646348430763	0.0886086908239172	0.179721849214687	99.203423040984	p3	single cell	FALSE
WTCHG_207700_701505	20150709_C68	0.337660452	4333	40	2207611	5.501829806	31.8347819355	14.2062224737	pass	pass	fail	warn	2205618	89.56	319255	351073	0.218545	47.949567242	1159854	41703	140713	310435	766199	31.3258814736	757743	545706	0.0189076258898866	0.140747400501809	0.347385177306315	83.4153460506535	p3	single cell	TRUE
WTCHG_207700_701506	20150709_C17	0.582454085	6428	44	2446187	8.922907366	32.1640743472	13.1066993843	pass	pass	warn	warn	2443941	86.4	333526	466788	0.125206	36.5067606164	964398	44194	233763	291597	1107745	28.1416074591	743416	362472	0.0180830879305188	0.119314255131364	0.453261760410746	71.1442084904716	p3	single cell	TRUE
WTCHG_207700_701507	20150709_C70	0.856145512	5707	42	1598635	4.775824375	23.8392322886	11.4989131598	pass	pass	warn	warn	1597751	90.77	239976	242258	0.075031	34.4290805001	589357	23421	72723	169985	856314	29.3694356817	502746	160440	0.0146587296769021	0.10639016968226	0.535949594148275	68.8554012066906	p3	single cell	TRUE
WTCHG_207700_701508	20150709_C95	0.322164533	4478	41	1600666	6.427324626	27.1842048096	16.4298298609	pass	pass	warn	warn	1580765	87.22	235100	290660	0.147219	48.313035264	842861	42357	133413	239058	486894	37.4722211554	653734	282689	0.0267952541965441	0.151229309859467	0.308011627281728	76.9747167914382	p3	single cell	TRUE
WTCHG_207700_701517	20150708_C29	0.678509921	4261	37	1495978	4.961035523	24.8312241925	9.99235754647	pass	pass	warn	warn	1495593	91.27	217473	215257	0.082019	29.8650078255	473421	15783	65104	131014	899881	24.3394063726	385829	154431	0.0105530047278905	0.0876000355711748	0.601688427265974	81.2642622443551	p2	single cell	TRUE
WTCHG_207700_702502	20150708_C53	0.127430105	3265	43	2027361	8.359537349	32.0898684213	23.1119982131	pass	pass	warn	pass	2023568	82.96	245104	473811	0.660555	69.5179130148	1519745	7473	241471	239409	178022	19.6360218103	429267	1290909	0.00369298190127537	0.118310331058803	0.0879743107224467	90.6552932580186	p2	single cell	FALSE
WTCHG_207700_702503	20150709_C37	0.488431551	4632	44	1921511	6.392313133	32.3695673765	18.0998393728	pass	pass	pass	pass	1916238	86.82	287655	370296	0.169548	37.0095733766	832557	35243	162892	450312	768568	26.7938523417	602747	431831	0.0183917655322564	0.234997949106531	0.401081702794747	82.1017247971336	p3	single cell	TRUE
WTCHG_207700_702504	20150709_C45	0.391477358	4463	43	2253500	5.635810961	30.934647204	14.4637803577	pass	pass	pass	pass	2246999	89.25	350969	371944	0.21791	46.0371130124	1188780	45882	142453	462157	742949	30.7027554961	792813	604759	0.0204192347215108	0.205677439108785	0.330640556582357	81.3439778208468	p3	single cell	TRUE
WTCHG_207700_702505	20150709_C86	0.571983869	4891	42	1322481	5.159242363	25.8127096721	15.1322122662	pass	pass	warn	pass	1321360	89	196967	232106	0.112909	39.8239539196	576889	27635	76348	183502	584224	31.6046273707	457824	197345	0.0209140582430223	0.138873584791427	0.442138402857662	76.206403263304	p3	single cell	TRUE
WTCHG_207700_702506	20150709_C23	0.442781413	4673	41	1781756	6.192262016	29.2284033531	12.8588545976	pass	pass	pass	pass	1780143	90.16	268434	269047	0.167877	46.5001444878	901117	32670	104737	233165	666191	33.8183994881	655360	353087	0.0183524582013917	0.13098105039876	0.374234541831752	78.6846788192048	p3	single cell	TRUE
WTCHG_207700_702507	20150709_C78	0.368652289	4068	47	1801171	4.90769616	26.9691827382	15.4714468419	pass	pass	pass	pass	1799153	89.57	268428	297050	0.177956	39.953250893	788141	23283	102370	251799	807065	27.1942222119	536449	387910	0.0129410895015599	0.139954189554752	0.448580526503305	85.695952434348	p3	single cell	TRUE
WTCHG_207700_702508	20150709_C66	0.371793353	6033	46	2133530	6.082501769	30.4000108657	14.5467714785	pass	pass	warn	warn	2130294	89.19	316460	349219	0.12488	41.726189386	979607	42367	141560	317916	866253	33.1535547725	778347	334181	0.0198878652430134	0.149235739292323	0.406635422152999	70.7197617484338	p3	single cell	TRUE
WTCHG_207700_702517	20150708_C35	1.107669424	6357	39	1280648	4.227547304	25.0886972568	11.7881089525	pass	pass	warn	warn	1280375	91.38	195870	186936	0.07042	38.2977935087	527163	23782	50986	143985	630568	33.1018014013	455641	121047	0.018574245826418	0.112455335350971	0.492486966708972	72.1840506251076	p2	single cell	TRUE
WTCHG_207700_703502	20150708_C59	0.251123805	2875	44	1959426	6.548244231	33.5852797477	12.67952675	pass	pass	fail	warn	1958204	89.26	242861	314908	0.247855	41.5145602992	849862	16672	136035	132954	911619	23.1277556711	473458	504974	0.0085139239834052	0.0678958882731319	0.465538319807334	95.4976019380518	p2	single cell	FALSE
WTCHG_207700_703503	20150709_C43	0.383101186	4411	41	1721820	4.816182876	27.8083847492	21.2295473887	pass	pass	warn	warn	1700333	86.64	273723	342800	0.15902	38.0031508009	749497	35858	133882	383854	669106	28.8277489521	568540	380904	0.021088810250698	0.225752249706381	0.393514682124031	77.8328579758572	p3	single cell	TRUE
WTCHG_207700_703504	20150709_C49	0.379122504	4432	44	2422840	6.106676462	34.5148839745	12.6168092981	pass	pass	warn	warn	2419756	89.09	366373	402696	0.163502	33.3728091211	915004	36015	163219	445106	1182421	23.2035933058	636188	496991	0.0148837320787716	0.183946645860161	0.488652988152524	82.2369167699921	p3	single cell	TRUE
WTCHG_207700_703505	20150709_C57	0.395874849	5806	48	2966645	12.21096559	41.135737427	14.9174207514	pass	pass	fail	warn	2961095	82.31	397582	687568	0.235422	37.7924929884	1296572	45174	409219	642400	1037401	23.5100266238	806574	805005	0.0152558428554302	0.216946771380182	0.350343707310978	80.7167294259163	p3	single cell	TRUE
WTCHG_207700_703506	20150709_C35	0.414302427	4872	48	2317286	7.459372732	35.5889569812	17.8377657402	pass	pass	pass	pass	2301684	85.46	309244	472398	0.174609	34.8450681122	892201	30536	231280	364373	1042090	24.2814237955	621721	487652	0.0132668081283095	0.158307135123675	0.452751116139314	80.3290656928272	p3	single cell	TRUE
WTCHG_207700_703507	20150709_C84	0.549577609	6165	50	2866566	7.271976295	37.6252033574	11.8450156384	pass	pass	warn	warn	2860908	89.04	395648	459146	0.150304	40.1497616993	1261100	48567	215830	405279	1210214	29.6693080844	931910	502812	0.016976078923195	0.141660969174821	0.423017447607543	75.2617473141267	p3	single cell	TRUE
